# wavenumber, intensity
2.009300000000000068e+02,5.210919208382960854e-02
2.019000000000000057e+02,4.869382703416534619e-02
2.028600000000000136e+02,4.411042974679225265e-02
2.038199999999999932e+02,4.213167954274880944e-02
2.047899999999999920e+02,4.712618558610012082e-02
2.057500000000000000e+02,6.141527246857626798e-02
2.067199999999999989e+02,8.245936786607693803e-02
2.076800000000000068e+02,1.032646040574866780e-01
2.086500000000000057e+02,1.158453749655871945e-01
2.096100000000000136e+02,1.164989974442767473e-01
2.105699999999999932e+02,1.086812311335600412e-01
2.115399999999999920e+02,1.006644154844315020e-01
2.125000000000000000e+02,9.758667904329587639e-02
2.134699999999999989e+02,9.901885974208736452e-02
2.144300000000000068e+02,1.013286604247513323e-01
2.154000000000000057e+02,9.981279129542879047e-02
2.163600000000000136e+02,9.293440629941310260e-02
2.173199999999999932e+02,8.233767246273113183e-02
2.182899999999999920e+02,7.113840628966736079e-02
2.192500000000000000e+02,6.273533259755745273e-02
2.202199999999999989e+02,5.862716865106920583e-02
2.211800000000000068e+02,5.797581197268369957e-02
2.221399999999999864e+02,5.946517367481131411e-02
2.231100000000000136e+02,6.197112444603616183e-02
2.240699999999999932e+02,6.412648525646201525e-02
2.250399999999999920e+02,6.528233577211475791e-02
2.260000000000000000e+02,6.625282920494840466e-02
2.269699999999999989e+02,6.789568060499322211e-02
2.279300000000000068e+02,7.056788751885095801e-02
2.288899999999999864e+02,7.268031994074802826e-02
2.298600000000000136e+02,7.334992483877517122e-02
2.308199999999999932e+02,7.184891741036134039e-02
2.317899999999999920e+02,6.821394027545372996e-02
2.327500000000000000e+02,6.363663384910801801e-02
2.337199999999999989e+02,6.047411262245703384e-02
2.346800000000000068e+02,5.980645679995891945e-02
2.356399999999999864e+02,5.983771509875689121e-02
2.366100000000000136e+02,5.843489235012207239e-02
2.375699999999999932e+02,5.494568170134855184e-02
2.385399999999999920e+02,4.968427412772881413e-02
2.395000000000000000e+02,4.416324969363064068e-02
2.404699999999999989e+02,4.045408587139547735e-02
2.414300000000000068e+02,4.081256958808727325e-02
2.423899999999999864e+02,4.476999690584269193e-02
2.433600000000000136e+02,5.085944485456267428e-02
2.443199999999999932e+02,5.762419874723181956e-02
2.452899999999999920e+02,6.428806361782531120e-02
2.462500000000000000e+02,6.985279607066394170e-02
2.472100000000000080e+02,7.332020143695631986e-02
2.481800000000000068e+02,7.481039149618376460e-02
2.491399999999999864e+02,7.407885472321928955e-02
2.501100000000000136e+02,7.111477374887653635e-02
2.510699999999999932e+02,6.641769663126717571e-02
2.520399999999999920e+02,6.111764863528249686e-02
2.530000000000000000e+02,5.674847911200196077e-02
2.539600000000000080e+02,5.521431303614837693e-02
2.549300000000000068e+02,5.774599160435687356e-02
2.558899999999999864e+02,6.320501107318476919e-02
2.568600000000000136e+02,6.846532229182007712e-02
2.578199999999999932e+02,7.039473652153385719e-02
2.587900000000000205e+02,6.787048880378013238e-02
2.597500000000000000e+02,6.255650491776236499e-02
2.607099999999999795e+02,5.705324143442299517e-02
2.616800000000000068e+02,5.417138708396398994e-02
2.626399999999999864e+02,5.504050422583930957e-02
2.636100000000000136e+02,5.894784030249648754e-02
2.645699999999999932e+02,6.438690611059540159e-02
2.655400000000000205e+02,6.955025082165712524e-02
2.665000000000000000e+02,7.293966880334079583e-02
2.674599999999999795e+02,7.345561345934147057e-02
2.684300000000000068e+02,7.144455732840290785e-02
2.693899999999999864e+02,6.828408263105764653e-02
2.703600000000000136e+02,6.505680336995171842e-02
2.713199999999999932e+02,6.218074751919217685e-02
2.722799999999999727e+02,5.926631924395373008e-02
2.732500000000000000e+02,5.566973889697017508e-02
2.742099999999999795e+02,5.206494806931988295e-02
2.751800000000000068e+02,5.050444511037920081e-02
2.761399999999999864e+02,5.286738246465468027e-02
2.771100000000000136e+02,5.881354899854019519e-02
2.780699999999999932e+02,6.645377889199892418e-02
2.790299999999999727e+02,7.212388324063055689e-02
2.800000000000000000e+02,7.419082911236730971e-02
2.809599999999999795e+02,7.318661667288027528e-02
2.819300000000000068e+02,7.114086699752288079e-02
2.828899999999999864e+02,7.020289876258066497e-02
2.838600000000000136e+02,7.017921749490159400e-02
2.848199999999999932e+02,6.937015624276698933e-02
2.857799999999999727e+02,6.667568114098933185e-02
2.867500000000000000e+02,6.206175645814091674e-02
2.877099999999999795e+02,5.686754326338686744e-02
2.886800000000000068e+02,5.403249108907080128e-02
2.896399999999999864e+02,5.569731831570632480e-02
2.906100000000000136e+02,6.108716996669472099e-02
2.915699999999999932e+02,6.776209584091601179e-02
2.925299999999999727e+02,7.290185673807557387e-02
2.935000000000000000e+02,7.359689707175787188e-02
2.944599999999999795e+02,6.878799174566629926e-02
2.954300000000000068e+02,6.057675581251037444e-02
2.963899999999999864e+02,5.370416931619253348e-02
2.973600000000000136e+02,5.244168000565267718e-02
2.983199999999999932e+02,5.893602403210036061e-02
2.992799999999999727e+02,7.030330051577239614e-02
3.002500000000000000e+02,8.028546647468151609e-02
3.012099999999999795e+02,8.219024926239705542e-02
3.021800000000000068e+02,7.348604340104127053e-02
3.031399999999999864e+02,5.823240776609396596e-02
3.041000000000000227e+02,4.501938111979443546e-02
3.050699999999999932e+02,4.034216020913597434e-02
3.060299999999999727e+02,4.665497221349073492e-02
3.070000000000000000e+02,6.054267135419190426e-02
3.079599999999999795e+02,7.529836691834040918e-02
3.089300000000000068e+02,8.489527373547653410e-02
3.098899999999999864e+02,8.736482552119569089e-02
3.108500000000000227e+02,8.314181229915464100e-02
3.118199999999999932e+02,7.490838126841029010e-02
3.127799999999999727e+02,6.522106171016818499e-02
3.137500000000000000e+02,5.537679284494444881e-02
3.147099999999999795e+02,4.750021318013671751e-02
3.156800000000000068e+02,4.394585468180160770e-02
3.166399999999999864e+02,4.575038189698618640e-02
3.176000000000000227e+02,5.135631293382088985e-02
3.185699999999999932e+02,5.681711093406992263e-02
3.195299999999999727e+02,6.020280130880506508e-02
3.205000000000000000e+02,6.194242430887127171e-02
3.214599999999999795e+02,6.392806936759874714e-02
3.224300000000000068e+02,6.778148914243066481e-02
3.233899999999999864e+02,7.290568179880091426e-02
3.243500000000000227e+02,7.623894204180262091e-02
3.253199999999999932e+02,7.468184996503929307e-02
3.262799999999999727e+02,6.822904561080507524e-02
3.272500000000000000e+02,5.984884919271842713e-02
3.282099999999999795e+02,5.461292578164066852e-02
3.291700000000000159e+02,5.464318517922953089e-02
3.301399999999999864e+02,5.858248609456376960e-02
3.311000000000000227e+02,6.401036908181460816e-02
3.320699999999999932e+02,6.835639333318743738e-02
3.330299999999999727e+02,7.078413744880684977e-02
3.340000000000000000e+02,7.129131126492610493e-02
3.349599999999999795e+02,7.025613288796976608e-02
3.359200000000000159e+02,6.829158657184426773e-02
3.368899999999999864e+02,6.574519248339055766e-02
3.378500000000000227e+02,6.217660573369357402e-02
3.388199999999999932e+02,5.807104867572566997e-02
3.397799999999999727e+02,5.558210358849222793e-02
3.407500000000000000e+02,5.597308813963201152e-02
3.417099999999999795e+02,5.928069367598078759e-02
3.426700000000000159e+02,6.460176732423568435e-02
3.436399999999999864e+02,6.995171165376568023e-02
3.446000000000000227e+02,7.255499438422602365e-02
3.455699999999999932e+02,7.002156164804151928e-02
3.465299999999999727e+02,6.322306438527511285e-02
3.475000000000000000e+02,5.475774209345501964e-02
3.484599999999999795e+02,4.968376249540294720e-02
3.494200000000000159e+02,5.314186102604249312e-02
3.503899999999999864e+02,6.683353189540171269e-02
3.513500000000000227e+02,8.689902083317907477e-02
3.523199999999999932e+02,1.054211830401176886e-01
3.532799999999999727e+02,1.142186765289885941e-01
3.542400000000000091e+02,1.092542349756746439e-01
3.552099999999999795e+02,9.260937359149094827e-02
3.561700000000000159e+02,7.194512865116872713e-02
3.571399999999999864e+02,5.622235053636188973e-02
3.581000000000000227e+02,5.069942575362160891e-02
3.590699999999999932e+02,5.405439382532732651e-02
3.600299999999999727e+02,6.130371225797844048e-02
3.609900000000000091e+02,6.667687494975024776e-02
3.619599999999999795e+02,6.631734360496240044e-02
3.629200000000000159e+02,6.069226290105439459e-02
3.638899999999999864e+02,5.513807981951669712e-02
3.648500000000000227e+02,5.354583129289479382e-02
3.658199999999999932e+02,5.571729633987906188e-02
3.667799999999999727e+02,5.889141456592871665e-02
3.677400000000000091e+02,6.178710735264503900e-02
3.687099999999999795e+02,6.458364092181718974e-02
3.696700000000000159e+02,7.111930534948274207e-02
3.706399999999999864e+02,8.528382194220490709e-02
3.716000000000000227e+02,1.072463948193559669e-01
3.725699999999999932e+02,1.322205330234292875e-01
3.735299999999999727e+02,1.528910150054454131e-01
3.744900000000000091e+02,1.651730657252643841e-01
3.754599999999999795e+02,1.713013977307903113e-01
3.764200000000000159e+02,1.749498234868480939e-01
3.773899999999999864e+02,1.788408847828359405e-01
3.783500000000000227e+02,1.823166224470145758e-01
3.793100000000000023e+02,1.827821347736999225e-01
3.802799999999999727e+02,1.777488421273190622e-01
3.812400000000000091e+02,1.681016247980885725e-01
3.822099999999999795e+02,1.559087686471708478e-01
3.831700000000000159e+02,1.431488533345017800e-01
3.841399999999999864e+02,1.282295816065735783e-01
3.851000000000000227e+02,1.088274361616864278e-01
3.860600000000000023e+02,8.675971065973969720e-02
3.870299999999999727e+02,6.802892428085352550e-02
3.879900000000000091e+02,5.876189849701876633e-02
3.889599999999999795e+02,6.009401853083379264e-02
3.899200000000000159e+02,6.740816808827178319e-02
3.908899999999999864e+02,7.332829010040113615e-02
3.918500000000000227e+02,7.247937025369743935e-02
3.928100000000000023e+02,6.365943803279969226e-02
3.937799999999999727e+02,5.101861123496013312e-02
3.947400000000000091e+02,4.135538712294632019e-02
3.957099999999999795e+02,3.842604841990922282e-02
3.966700000000000159e+02,4.303683021846661794e-02
3.976399999999999864e+02,5.336503017412473626e-02
3.986000000000000227e+02,6.593252300518141762e-02
3.995600000000000023e+02,7.627970208380531469e-02
4.005299999999999727e+02,8.095368265639567296e-02
4.014900000000000091e+02,8.011694453174780794e-02
