# wavenumber, intensity
2.009300000000000068e+02,3.291743455231279508e-02
2.019000000000000057e+02,2.802901718847300785e-02
2.028600000000000136e+02,2.142365045250505320e-02
2.038199999999999932e+02,1.759159633860054792e-02
2.047899999999999920e+02,2.003833631759446496e-02
2.057500000000000000e+02,2.924985588089346056e-02
2.067199999999999989e+02,4.090521914839616996e-02
2.076800000000000068e+02,4.878047287266521620e-02
2.086500000000000057e+02,4.839783494276003045e-02
2.096100000000000136e+02,3.978304217451881369e-02
2.105699999999999932e+02,2.801034445749419136e-02
2.115399999999999920e+02,2.008754944211873714e-02
2.125000000000000000e+02,1.947864887415100277e-02
2.134699999999999989e+02,2.549192756411854457e-02
2.144300000000000068e+02,3.399951107113832055e-02
2.154000000000000057e+02,3.920404623245701131e-02
2.163600000000000136e+02,3.885759996398324700e-02
2.173199999999999932e+02,3.488205073962713509e-02
2.182899999999999920e+02,3.098625503333739956e-02
2.192500000000000000e+02,3.084447885019998836e-02
2.202199999999999989e+02,3.523798642876175419e-02
2.211800000000000068e+02,4.221478274665959457e-02
2.221399999999999864e+02,4.932433676602306083e-02
2.231100000000000136e+02,5.520445745638393603e-02
2.240699999999999932e+02,5.959973105616078737e-02
2.250399999999999920e+02,6.200361558700640680e-02
2.260000000000000000e+02,6.206429607595257553e-02
2.269699999999999989e+02,5.964006698071089296e-02
2.279300000000000068e+02,5.616769252091901449e-02
2.288899999999999864e+02,5.257303875220353806e-02
2.298600000000000136e+02,4.977066919441541087e-02
2.308199999999999932e+02,4.792105630862035504e-02
2.317899999999999920e+02,4.583955306382737904e-02
2.327500000000000000e+02,4.255230472126210473e-02
2.337199999999999989e+02,3.840064786135054947e-02
2.346800000000000068e+02,3.466652551055289522e-02
2.356399999999999864e+02,3.205910114794627286e-02
2.366100000000000136e+02,3.004659046528383379e-02
2.375699999999999932e+02,2.829460323225161875e-02
2.385399999999999920e+02,2.660291973697277018e-02
2.395000000000000000e+02,2.506810601948078129e-02
2.404699999999999989e+02,2.365027354726713729e-02
2.414300000000000068e+02,2.314118849836973094e-02
2.423899999999999864e+02,2.397948344868409964e-02
2.433600000000000136e+02,2.634870686981756818e-02
2.443199999999999932e+02,3.014923161829710999e-02
2.452899999999999920e+02,3.485640811158443458e-02
2.462500000000000000e+02,3.959358341857670271e-02
2.472100000000000080e+02,4.331998236992770646e-02
2.481800000000000068e+02,4.569824781968181288e-02
2.491399999999999864e+02,4.655288435297164767e-02
2.501100000000000136e+02,4.589472356658257091e-02
2.510699999999999932e+02,4.374422775965872839e-02
2.520399999999999920e+02,4.053710968635327455e-02
2.530000000000000000e+02,3.719956505958588872e-02
2.539600000000000080e+02,3.502055389677743991e-02
2.549300000000000068e+02,3.517845974034343459e-02
2.558899999999999864e+02,3.777575891465050073e-02
2.568600000000000136e+02,4.108384630755246986e-02
2.578199999999999932e+02,4.264517389021861560e-02
2.587900000000000205e+02,4.033142708218475508e-02
2.597500000000000000e+02,3.453405037248248599e-02
2.607099999999999795e+02,2.724935414249521348e-02
2.616800000000000068e+02,2.140966356448169641e-02
2.626399999999999864e+02,1.926818623922805368e-02
2.636100000000000136e+02,2.147154494785273246e-02
2.645699999999999932e+02,2.660346131681147822e-02
2.655400000000000205e+02,3.243521657283231913e-02
2.665000000000000000e+02,3.712150692188450479e-02
2.674599999999999795e+02,3.991528184309299510e-02
2.684300000000000068e+02,4.102474346422608359e-02
