# wavenumber, intensity
2.009300000000000068e+02,1.433513684230941498e-02
2.019000000000000057e+02,1.371686926182697983e-02
2.028600000000000136e+02,1.317197565890987181e-02
2.038199999999999932e+02,1.309252935216648726e-02
2.047899999999999920e+02,1.371809352174159675e-02
2.057500000000000000e+02,1.479945781936132382e-02
2.067199999999999989e+02,1.575444584683398722e-02
2.076800000000000068e+02,1.599900400743159770e-02
2.086500000000000057e+02,1.547826913350165007e-02
2.096100000000000136e+02,1.448617786887530616e-02
2.105699999999999932e+02,1.369940315370787691e-02
2.115399999999999920e+02,1.350624758606997974e-02
2.125000000000000000e+02,1.391105320779308790e-02
2.134699999999999989e+02,1.475340932309616993e-02
2.144300000000000068e+02,1.596647134062641540e-02
2.154000000000000057e+02,1.596545928576368831e-02
2.163600000000000136e+02,1.484810174664666881e-02
2.173199999999999932e+02,1.362988151400838614e-02
2.182899999999999920e+02,1.375583337405155739e-02
2.192500000000000000e+02,1.632055995494242906e-02
2.202199999999999989e+02,2.139271775270808196e-02
2.211800000000000068e+02,2.795462030876846860e-02
2.221399999999999864e+02,3.458661582582263361e-02
2.231100000000000136e+02,4.004239138705152634e-02
2.240699999999999932e+02,4.420082687820892087e-02
2.250399999999999920e+02,4.654814122168194485e-02
2.260000000000000000e+02,4.605052037494546807e-02
2.269699999999999989e+02,4.216258103111573952e-02
2.279300000000000068e+02,3.722362271208946860e-02
2.288899999999999864e+02,3.372795256845349116e-02
2.298600000000000136e+02,3.320050875018920600e-02
2.308199999999999932e+02,3.569026165389254518e-02
2.317899999999999920e+02,3.928142407088928978e-02
2.327500000000000000e+02,4.131287935632264180e-02
2.337199999999999989e+02,4.044331202397825203e-02
2.346800000000000068e+02,3.725114407497542163e-02
2.356399999999999864e+02,3.297895035252647322e-02
2.366100000000000136e+02,2.806482002457399635e-02
2.375699999999999932e+02,2.300888775154673674e-02
2.385399999999999920e+02,1.857719744738660014e-02
2.395000000000000000e+02,1.522909143215852440e-02
2.404699999999999989e+02,1.326862689832343685e-02
2.414300000000000068e+02,1.254983941709599850e-02
2.423899999999999864e+02,1.282683230370525868e-02
2.433600000000000136e+02,1.366695210423061503e-02
2.443199999999999932e+02,1.472510443386414528e-02
2.452899999999999920e+02,1.606627300888806981e-02
2.462500000000000000e+02,1.758740779140017738e-02
2.472100000000000080e+02,1.900479062699218791e-02
2.481800000000000068e+02,2.058834634169783365e-02
2.491399999999999864e+02,2.200217066180392908e-02
2.501100000000000136e+02,2.352552543562845544e-02
2.510699999999999932e+02,2.590527450511330779e-02
2.520399999999999920e+02,2.975975074460316533e-02
2.530000000000000000e+02,3.486721619831419094e-02
2.539600000000000080e+02,4.089499863870824786e-02
2.549300000000000068e+02,4.688213564992825544e-02
2.558899999999999864e+02,5.131994725366291477e-02
2.568600000000000136e+02,5.317874924416599730e-02
2.578199999999999932e+02,5.208194294815316622e-02
2.587900000000000205e+02,4.826894463457948037e-02
2.597500000000000000e+02,4.255738036846751227e-02
2.607099999999999795e+02,3.564924078501208182e-02
2.616800000000000068e+02,2.905713981771778157e-02
2.626399999999999864e+02,2.373978724419855205e-02
2.636100000000000136e+02,1.997616741385844705e-02
2.645699999999999932e+02,1.752795772993314891e-02
2.655400000000000205e+02,1.624259908356250406e-02
2.665000000000000000e+02,1.542716036292140352e-02
2.674599999999999795e+02,1.488626600905958511e-02
2.684300000000000068e+02,1.463037936338300662e-02
2.693899999999999864e+02,1.438125063243668629e-02
2.703600000000000136e+02,1.384071539481667411e-02
2.713199999999999932e+02,1.316482598100691265e-02
2.722799999999999727e+02,1.267481186920771559e-02
2.732500000000000000e+02,1.260483317247278537e-02
2.742099999999999795e+02,1.308376365117575220e-02
2.751800000000000068e+02,1.368038631636318836e-02
2.761399999999999864e+02,1.415773341890982397e-02
2.771100000000000136e+02,1.450708822822151592e-02
2.780699999999999932e+02,1.476212605369033211e-02
2.790299999999999727e+02,1.526008969320341579e-02
2.800000000000000000e+02,1.611197871237707302e-02
2.809599999999999795e+02,1.703196922974945654e-02
2.819300000000000068e+02,1.764524182977932412e-02
2.828899999999999864e+02,1.773134811045962850e-02
2.838600000000000136e+02,1.721862805810574562e-02
2.848199999999999932e+02,1.646143146248202349e-02
2.857799999999999727e+02,1.569202491464052537e-02
2.867500000000000000e+02,1.497857520664195620e-02
2.877099999999999795e+02,1.450305633223502449e-02
2.886800000000000068e+02,1.429331612361695557e-02
2.896399999999999864e+02,1.437206052134236758e-02
2.906100000000000136e+02,1.487355002941030679e-02
2.915699999999999932e+02,1.573350284055662421e-02
2.925299999999999727e+02,1.617456287922604957e-02
2.935000000000000000e+02,1.649517206573621747e-02
2.944599999999999795e+02,1.635673275456103054e-02
2.954300000000000068e+02,1.562927751313627003e-02
2.963899999999999864e+02,1.469324102914612573e-02
2.973600000000000136e+02,1.382470207512999545e-02
2.983199999999999932e+02,1.349784100132114979e-02
2.992799999999999727e+02,1.358786491372894131e-02
3.002500000000000000e+02,1.397396384395258213e-02
3.012099999999999795e+02,1.440059393909179190e-02
3.021800000000000068e+02,1.447099704593064924e-02
3.031399999999999864e+02,1.396304344551217887e-02
3.041000000000000227e+02,1.317963136424428645e-02
3.050699999999999932e+02,1.325019770573820747e-02
3.060299999999999727e+02,1.409844659209820439e-02
3.070000000000000000e+02,1.577160180910792617e-02
3.079599999999999795e+02,1.793163703253479110e-02
3.089300000000000068e+02,2.011348040591214373e-02
