# wavenumber, intensity
2.009300000000000068e+02,6.823662393301529669e-03
2.019000000000000057e+02,5.522724603209903591e-03
2.028600000000000136e+02,3.598325865478846450e-03
2.038199999999999932e+02,2.388168715361018660e-03
2.047899999999999920e+02,2.577177212918821403e-03
2.057500000000000000e+02,4.196365720095880138e-03
2.067199999999999989e+02,6.183390216037166001e-03
2.076800000000000068e+02,7.406367892672621224e-03
2.086500000000000057e+02,7.299781554565224449e-03
2.096100000000000136e+02,6.019897080078398521e-03
2.105699999999999932e+02,4.382514737475276707e-03
2.115399999999999920e+02,3.234009236935124227e-03
2.125000000000000000e+02,2.816273747901454523e-03
2.134699999999999989e+02,3.389049623793139853e-03
2.144300000000000068e+02,4.592482282060799358e-03
2.154000000000000057e+02,5.599679185175025255e-03
2.163600000000000136e+02,7.938105514564572363e-03
2.173199999999999932e+02,1.109472024951009897e-02
2.182899999999999920e+02,1.667274908475946740e-02
2.192500000000000000e+02,2.601448229299582054e-02
2.202199999999999989e+02,3.913556845805694212e-02
2.211800000000000068e+02,5.399870650942310141e-02
2.221399999999999864e+02,6.731546281817479827e-02
2.231100000000000136e+02,7.572142328205956618e-02
2.240699999999999932e+02,7.823729449685440374e-02
2.250399999999999920e+02,7.485660335358230999e-02
2.260000000000000000e+02,6.633459827099791317e-02
2.269699999999999989e+02,5.572454420042743245e-02
2.279300000000000068e+02,4.711226124361453382e-02
2.288899999999999864e+02,4.143955533386022017e-02
2.298600000000000136e+02,4.029626602793208445e-02
2.308199999999999932e+02,4.190766166604927012e-02
2.317899999999999920e+02,4.362184147632221926e-02
2.327500000000000000e+02,4.240238315990819268e-02
2.337199999999999989e+02,3.688952533445729459e-02
2.346800000000000068e+02,2.865387676695942479e-02
2.356399999999999864e+02,2.027776801923130909e-02
2.366100000000000136e+02,1.294646933697405147e-02
2.375699999999999932e+02,7.482851131751019381e-03
2.385399999999999920e+02,4.516847460178404113e-03
2.395000000000000000e+02,3.824319068211013296e-03
2.404699999999999989e+02,4.750979183420981321e-03
2.414300000000000068e+02,6.026558726209651010e-03
2.423899999999999864e+02,6.871582253447175784e-03
2.433600000000000136e+02,6.814078421272579643e-03
2.443199999999999932e+02,6.154229802781676847e-03
2.452899999999999920e+02,5.143167887996926563e-03
2.462500000000000000e+02,4.392538629531835166e-03
2.472100000000000080e+02,3.808984712964855190e-03
2.481800000000000068e+02,3.689232196889523537e-03
2.491399999999999864e+02,4.646718136888317724e-03
2.501100000000000136e+02,7.589248932704143781e-03
2.510699999999999932e+02,1.318349196325511487e-02
2.520399999999999920e+02,2.151425752528431795e-02
2.530000000000000000e+02,3.054399316539908177e-02
2.539600000000000080e+02,4.038157909042136562e-02
