# wavenumber, intensity
2.009300000000000068e+02,1.011928091761572224e-01
2.019000000000000057e+02,1.235266309037585108e-01
2.028600000000000136e+02,1.507916981644912280e-01
2.038199999999999932e+02,1.832021820672959378e-01
2.047899999999999920e+02,2.185648873431455530e-01
2.057500000000000000e+02,2.534125969089581210e-01
2.067199999999999989e+02,2.792508059121015518e-01
2.076800000000000068e+02,2.856698595836295596e-01
2.086500000000000057e+02,2.666257922811117176e-01
2.096100000000000136e+02,2.268282136074766531e-01
2.105699999999999932e+02,1.779317104298870356e-01
2.115399999999999920e+02,1.337424311907003116e-01
2.125000000000000000e+02,1.046465587982006867e-01
2.134699999999999989e+02,9.322969185756074806e-02
2.144300000000000068e+02,9.215291063000122240e-02
2.154000000000000057e+02,9.171556445245662714e-02
2.163600000000000136e+02,8.622430341096759543e-02
2.173199999999999932e+02,7.544887240026970643e-02
2.182899999999999920e+02,6.074094276690783500e-02
2.192500000000000000e+02,4.801657775192402777e-02
2.202199999999999989e+02,4.547876939420165271e-02
2.211800000000000068e+02,5.803090482175721904e-02
2.221399999999999864e+02,8.340290880227541059e-02
2.231100000000000136e+02,1.162083356195911382e-01
2.240699999999999932e+02,1.477492832809597090e-01
2.250399999999999920e+02,1.714653282524304934e-01
2.260000000000000000e+02,1.853410457506560749e-01
2.269699999999999989e+02,1.899827023930409642e-01
2.279300000000000068e+02,1.838379231851380025e-01
2.288899999999999864e+02,1.624873030701249887e-01
2.298600000000000136e+02,1.272824364376249073e-01
2.308199999999999932e+02,8.711738846999232677e-02
2.317899999999999920e+02,5.341087307395040590e-02
2.327500000000000000e+02,3.412677713729634493e-02
2.337199999999999989e+02,2.976786021975584562e-02
2.346800000000000068e+02,3.394646707324834589e-02
2.356399999999999864e+02,3.906094703339835911e-02
2.366100000000000136e+02,4.212098505165596390e-02
2.375699999999999932e+02,4.457152426186016675e-02
2.385399999999999920e+02,4.731373019965590815e-02
2.395000000000000000e+02,4.892736290259232929e-02
2.404699999999999989e+02,4.764456799963421446e-02
2.414300000000000068e+02,4.528237533382870744e-02
2.423899999999999864e+02,4.419081837758837700e-02
2.433600000000000136e+02,4.575973910988220122e-02
2.443199999999999932e+02,4.914130314077183592e-02
2.452899999999999920e+02,5.271918427511404492e-02
2.462500000000000000e+02,5.545854280686231264e-02
2.472100000000000080e+02,5.777386870826060200e-02
2.481800000000000068e+02,5.957843153023361510e-02
2.491399999999999864e+02,6.075410240026139080e-02
2.501100000000000136e+02,6.028935955912129163e-02
2.510699999999999932e+02,5.696174232929850090e-02
2.520399999999999920e+02,5.113795043558715114e-02
2.530000000000000000e+02,4.429948154892398432e-02
2.539600000000000080e+02,4.118010974518478834e-02
2.549300000000000068e+02,4.447863725916808425e-02
2.558899999999999864e+02,5.256688653001960476e-02
2.568600000000000136e+02,6.145148601119164444e-02
2.578199999999999932e+02,6.604896938137948259e-02
2.587900000000000205e+02,6.427819064737883004e-02
2.597500000000000000e+02,5.806592022045345414e-02
2.607099999999999795e+02,5.090800315800306231e-02
2.616800000000000068e+02,4.572495458194799495e-02
2.626399999999999864e+02,4.297158989072215329e-02
2.636100000000000136e+02,4.270285632535388010e-02
2.645699999999999932e+02,4.522127153918243520e-02
2.655400000000000205e+02,5.069337030753998802e-02
2.665000000000000000e+02,5.660143002888032987e-02
2.674599999999999795e+02,6.027335251971795843e-02
2.684300000000000068e+02,5.968155380331432308e-02
2.693899999999999864e+02,5.632900253134347224e-02
2.703600000000000136e+02,5.289464605318974777e-02
2.713199999999999932e+02,5.118412458771052359e-02
2.722799999999999727e+02,4.926743553299365447e-02
2.732500000000000000e+02,4.495746321670817530e-02
2.742099999999999795e+02,4.000266886599307403e-02
2.751800000000000068e+02,3.912928477854338283e-02
2.761399999999999864e+02,4.411886365719157321e-02
2.771100000000000136e+02,5.162970515571809610e-02
2.780699999999999932e+02,5.639026023982872393e-02
2.790299999999999727e+02,5.654563626173168128e-02
2.800000000000000000e+02,5.374825221214590831e-02
2.809599999999999795e+02,5.276328059039344515e-02
2.819300000000000068e+02,5.612845279727723957e-02
2.828899999999999864e+02,6.189329569010984522e-02
2.838600000000000136e+02,6.506607559647452355e-02
2.848199999999999932e+02,6.321926342530714837e-02
2.857799999999999727e+02,5.813764407008739643e-02
2.867500000000000000e+02,5.304147985694802891e-02
