# wavenumber, intensity
2.009300000000000068e+02,4.521041368225951762e-02
2.019000000000000057e+02,3.905226219160020523e-02
2.028600000000000136e+02,3.027764174363952940e-02
2.038199999999999932e+02,2.625539199905599710e-02
2.047899999999999920e+02,3.320555695188354833e-02
2.057500000000000000e+02,5.190649281810934268e-02
2.067199999999999989e+02,7.478703432013764085e-02
2.076800000000000068e+02,9.012784510003121752e-02
2.086500000000000057e+02,8.967965853283434152e-02
2.096100000000000136e+02,7.344619793482298764e-02
2.105699999999999932e+02,5.061930880997801696e-02
2.115399999999999920e+02,3.449977558626810686e-02
2.125000000000000000e+02,3.167895149948588007e-02
2.134699999999999989e+02,4.051566282422736781e-02
2.144300000000000068e+02,5.361494564789710815e-02
2.154000000000000057e+02,6.248576193936683509e-02
2.163600000000000136e+02,6.389311445442316661e-02
2.173199999999999932e+02,5.993193320059433254e-02
2.182899999999999920e+02,5.466197575611481119e-02
2.192500000000000000e+02,5.151340827992564875e-02
2.202199999999999989e+02,5.121404754738936166e-02
2.211800000000000068e+02,5.147644978802040638e-02
2.221399999999999864e+02,5.075810915777576038e-02
2.231100000000000136e+02,4.916044024674795510e-02
2.240699999999999932e+02,4.696540796551947755e-02
2.250399999999999920e+02,4.403415092831848565e-02
2.260000000000000000e+02,4.101516706619395825e-02
2.269699999999999989e+02,3.951929423258215834e-02
2.279300000000000068e+02,4.117224828653836405e-02
2.288899999999999864e+02,4.590308784537555642e-02
2.298600000000000136e+02,5.263720889713217888e-02
2.308199999999999932e+02,5.891616979341511573e-02
2.317899999999999920e+02,6.201871463889084557e-02
2.327500000000000000e+02,6.018475247965659330e-02
2.337199999999999989e+02,5.427061554063146442e-02
2.346800000000000068e+02,4.705904021421208894e-02
2.356399999999999864e+02,4.079391967802732666e-02
2.366100000000000136e+02,3.591748929702962695e-02
2.375699999999999932e+02,3.246307580380468349e-02
2.385399999999999920e+02,2.972549225102372530e-02
2.395000000000000000e+02,2.692619930878538057e-02
2.404699999999999989e+02,2.488110680520510751e-02
2.414300000000000068e+02,2.559078004345844218e-02
2.423899999999999864e+02,2.985081846655596172e-02
2.433600000000000136e+02,3.661071280189173716e-02
2.443199999999999932e+02,4.324770718107306955e-02
2.452899999999999920e+02,4.800325185898432490e-02
2.462500000000000000e+02,5.090710284686201376e-02
2.472100000000000080e+02,5.288288673349949426e-02
2.481800000000000068e+02,5.532304750934759208e-02
2.491399999999999864e+02,5.816184727881281574e-02
2.501100000000000136e+02,5.889115948448332000e-02
2.510699999999999932e+02,5.556358289659315414e-02
2.520399999999999920e+02,4.883877013553151319e-02
2.530000000000000000e+02,4.125912057985822029e-02
2.539600000000000080e+02,3.682896932944205309e-02
2.549300000000000068e+02,3.833119011211659488e-02
2.558899999999999864e+02,4.454102550537149957e-02
2.568600000000000136e+02,5.129805105603464643e-02
2.578199999999999932e+02,5.406030920890422808e-02
2.587900000000000205e+02,5.111466246985956613e-02
2.597500000000000000e+02,4.501794569778341804e-02
2.607099999999999795e+02,3.976037896157315343e-02
2.616800000000000068e+02,3.854055035528137357e-02
2.626399999999999864e+02,4.256583673895907027e-02
2.636100000000000136e+02,4.973566209268912713e-02
2.645699999999999932e+02,5.668556763413925420e-02
2.655400000000000205e+02,6.151539552369197916e-02
2.665000000000000000e+02,6.384168996320757627e-02
2.674599999999999795e+02,6.373618582900657248e-02
2.684300000000000068e+02,6.221208293345212303e-02
2.693899999999999864e+02,6.009310396504638496e-02
2.703600000000000136e+02,5.721778822897023026e-02
2.713199999999999932e+02,5.269954392580063901e-02
2.722799999999999727e+02,4.554458131819684452e-02
2.732500000000000000e+02,3.598199117369692279e-02
2.742099999999999795e+02,2.775454562364976230e-02
2.751800000000000068e+02,2.491426568336768330e-02
2.761399999999999864e+02,2.907914590847808858e-02
2.771100000000000136e+02,3.778346587245560995e-02
2.780699999999999932e+02,4.617727041455759601e-02
2.790299999999999727e+02,5.083962536907264684e-02
2.800000000000000000e+02,5.177431509024937178e-02
2.809599999999999795e+02,5.114603598734750872e-02
2.819300000000000068e+02,5.086520027924211484e-02
2.828899999999999864e+02,5.091563290341547671e-02
2.838600000000000136e+02,4.927070534274697461e-02
2.848199999999999932e+02,4.447954500831003549e-02
2.857799999999999727e+02,3.834837230117064261e-02
2.867500000000000000e+02,3.329241398571043675e-02
2.877099999999999795e+02,3.171406359274699799e-02
2.886800000000000068e+02,3.454854492570978708e-02
2.896399999999999864e+02,4.126806264272073893e-02
2.906100000000000136e+02,5.027078199117913926e-02
2.915699999999999932e+02,5.864157521792350697e-02
2.925299999999999727e+02,6.347672867051293299e-02
2.935000000000000000e+02,6.124699630233534919e-02
2.944599999999999795e+02,5.227336154742524832e-02
2.954300000000000068e+02,4.110271077720344807e-02
2.963899999999999864e+02,3.410821699737625473e-02
